blast_qseq_jg3	blast_sseq_jg3	max_pct_longCov	max_pct_shortCov	blast_pident	blast_evalue	blast_qstart	blast_qend	blast_sstart	blast_send	blast_slen
AN10256	AN3471	25.53	96.82	85.99	.0	978	1312	1	346	346
AN10256	AN3500	41.54	97.15	78.84	.0	1	570	1	545	561
AN10256	AN5470	35.29	76.03	86.64	.0	410	872	1	524	609
AN10256	AN5471	20.05	94.95	82.47	1e-154	978	1246	1	263	277
AN10256	AN6966	25.53	93.84	92.16	.0	978	1312	1	357	357
AN10256	AN6968	44.05	79.94	84.75	.0	1	578	62	699	723
AN10256	AN7830	22.18	76.98	94.75	.0	1	291	1	305	378
AN10256	AN7831	12.04	87.29	100.00	1e-105	1131	1288	1	158	181
AN10256	AN8305	13.41	84.62	86.36	6e-109	1087	1262	10	207	208
AN10256	AN8576	57.09	63.19	86.87	1e-160	1038	1312	1156	1452	1452
AN10259	AN6449	91.86	97.39	41.35	4e-128	24	524	8	492	498
AN10259	AN7359	97.16	99.61	39.28	5e-124	1	523	1	513	515
AN10267	AN10487	85.59	90.48	41.97	8e-124	30	523	20	494	525
AN10273	AN5831	90.43	93.13	51.22	2e-105	25	336	10	333	335
AN10292	AN7172	88.61	93.86	31.52	7e-153	33	1004	20	921	961
AN10293	AN1187	94.49	96.40	52.41	3e-160	3	431	10	443	445
AN10297	AN10486	95.95	96.68	34.68	6e-177	14	1050	16	1033	1053
AN10297	AN1680	79.40	92.65	34.30	2e-176	30	1038	43	1025	1238
AN10297	AN4827	95.85	96.67	39.79	.0	28	1059	35	1051	1052
AN10302	AN4609	74.07	92.03	39.08	.0	1	1154	111	1322	1558
AN1031	AN5370	90.29	92.38	38.29	3e-126	4	556	52	572	577
AN1031	AN8095	92.55	96.67	35.70	5e-101	15	536	2	527	540
AN10329	AN4079	73.33	81.37	90.99	.0	6	327	6	302	405
AN10329	AN5956	82.17	99.73	99.18	.0	2	365	80	443	443
AN10329	AN9416	51.23	65.85	96.79	2e-134	179	365	98	284	284
AN1033	AN2033	93.20	94.27	41.83	3e-117	9	422	6	416	436
AN1033	AN3227	79.80	91.38	41.40	7e-106	25	430	94	496	505
AN10333	AN1583	50.66	90.31	50.64	2e-108	367	752	39	420	423
AN1034	AN12440	42.64	83.95	31.75	.0	480	1667	1	1161	1383
AN1034	AN2032	65.74	79.95	55.48	6e-140	2279	2721	1807	2236	2239
AN1034	AN3230	64.52	79.68	49.78	1e-123	2285	2721	1770	2200	2205
AN1034	AN3386	91.22	98.22	39.60	.0	11	2721	35	2518	2529
AN1034	AN6448	79.58	86.33	31.78	.0	13	2313	4	2170	2510
AN1034	AN7903	95.01	99.27	43.30	.0	17	2722	18	2604	2606
AN1034	AN8383	62.06	67.95	29.60	.0	18	1808	15	1704	2487
AN10343	AN11011	95.01	98.75	48.70	3e-177	3	576	4	555	559
AN10343	AN8956	96.21	98.59	35.67	2e-108	5	576	8	566	567
AN1036	AN10430	50.28	77.08	35.45	.0	13	1308	7	1277	1649
AN1036	AN11191	50.59	52.01	34.95	.0	3	1281	37	1335	2459
AN1036	AN12188	46.84	99.66	44.38	.0	11	1258	4	1187	1188
AN1036	AN12331	51.90	54.35	34.08	.0	11	1323	3	1314	2414
AN1036	AN1784	68.83	69.66	31.59	.0	10	1765	3	1742	2498
AN1036	AN2035	98.09	99.37	48.65	.0	6	2517	3	2559	2561
AN1036	AN2547	95.25	99.71	34.95	.0	56	2513	2	2409	2415
AN1036	AN3273	67.05	97.92	39.31	.0	783	2505	23	1717	1731
AN1036	AN3612	96.80	98.95	31.43	.0	13	2522	25	2471	2473
AN1036	AN6431	91.18	92.94	30.94	.0	12	2387	27	2331	2480
AN1036	AN6791	97.63	99.21	50.04	.0	12	2519	11	2564	2569
AN1036	AN7084	50.28	52.89	33.94	2e-115	1703	2514	1541	2401	2403
AN1036	AN8412	45.56	70.85	31.53	.0	15	1824	5	1795	3931
AN1036	AN8910	44.62	46.04	32.77	3e-154	2	1209	9	1136	2450
AN1036	AN9005	96.32	96.47	30.51	.0	14	2511	63	2497	2524
AN10391	AN6803	57.73	80.10	40.87	4e-117	24	499	250	712	802
AN10391	AN6960	28.63	93.08	63.92	3e-105	292	577	385	675	1879
AN10398	AN3547	22.03	84.52	82.84	6e-158	46	329	332	634	1289
AN1041	AN7891	57.70	68.96	58.96	4e-102	1	251	1	251	364
AN10410	AN8934	84.27	90.30	45.30	4e-122	68	458	14	426	433
AN10413	AN6712	23.33	50.96	42.21	4e-112	792	1216	57	506	834
AN10420	AN4843	96.59	96.76	43.35	2e-169	16	582	16	584	587
AN10421	AN3523	98.83	99.41	71.68	.0	1	337	1	339	341
AN10428	AN6778	87.60	87.60	43.06	2e-124	6	436	12	442	492
AN10428	AN7137	85.98	88.13	44.14	1e-122	6	439	11	433	480
AN10428	AN9294	93.09	95.02	42.35	6e-121	8	465	4	478	482
AN10430	AN11191	45.79	68.28	38.44	.0	8	1133	50	1225	2459
AN10430	AN12188	66.46	92.26	39.25	.0	8	1132	7	1102	1188
AN10430	AN12331	48.14	70.47	37.47	.0	7	1168	5	1204	2414
AN10430	AN1784	40.99	62.10	36.09	.0	6	1029	8	1057	2498
AN10430	AN2035	41.82	64.95	37.95	.0	7	1077	10	1104	2561
AN10430	AN2547	40.29	59.01	41.85	.0	92	1067	15	987	2415
AN10430	AN3612	40.44	60.64	38.45	.0	7	1062	25	1024	2473
AN10430	AN6431	43.63	65.62	35.13	.0	8	1132	29	1110	2480
AN10430	AN6791	46.28	72.10	37.38	.0	7	1195	12	1237	2569
AN10430	AN7084	44.19	64.40	36.75	.0	6	1067	16	1093	2403
AN10430	AN8412	26.18	62.40	37.94	.0	9	1037	5	1047	3931
AN10430	AN8910	40.24	59.79	37.54	.0	7	1062	19	1004	2450
AN10430	AN9005	39.86	61.01	38.88	.0	8	1066	63	1068	2524
AN10448	AN1071	29.82	37.44	62.22	6e-126	1	352	831	1182	1186
AN10448	AN1580	24.65	32.51	66.79	5e-105	1	274	825	1098	1129
AN10448	AN8322	31.77	40.81	59.55	1e-134	64	466	409	811	1159
AN10448	AN9426	32.77	38.76	57.22	3e-128	72	466	752	1146	1259
AN10471	AN8921	94.46	96.35	45.96	3e-160	13	592	2	586	602
AN10479	AN8919	97.12	98.00	53.30	.0	5	543	9	548	550
AN10479	AN9218	99.10	99.28	46.21	.0	1	550	1	552	554
AN10482	AN2828	67.78	79.81	48.88	6e-180	47	660	21	609	738
AN10482	AN4102	90.22	91.70	45.60	.0	52	835	42	834	855
AN10482	AN5976	85.16	90.24	36.51	3e-155	37	835	51	790	820
AN10482	AN6652	78.42	92.41	47.00	.0	33	835	159	997	1024
AN10482	AN7396	73.42	82.54	39.91	5e-141	18	666	13	650	773
AN10486	AN1680	83.68	98.39	46.45	.0	3	1038	5	1040	1238
AN10486	AN4827	95.44	95.53	43.54	.0	32	1036	37	1045	1052
AN10487	AN6883	80.57	87.76	43.72	9e-125	98	521	49	471	482
AN10491	AN10600	86.32	89.99	35.93	2e-125	28	721	1	656	729
AN10491	AN12314	77.76	83.95	35.97	6e-119	50	662	20	610	704
AN10491	AN1678	78.68	80.59	35.55	3e-112	49	665	37	634	742
AN10495	AN5669	94.42	96.84	68.36	.0	17	507	28	520	520
AN10495	AN9394	81.38	86.19	51.92	2e-157	27	463	64	505	537
AN1050	AN5646	99.04	99.04	54.09	8e-150	2	415	4	417	418
AN1050	AN5698	95.93	96.86	50.85	4e-131	15	415	4	413	414
AN1050	AN5878	97.87	98.80	63.55	.0	4	416	6	421	422
AN10502	AN10838	48.62	88.37	67.68	.0	1	677	621	1220	1234
AN10504	AN10659	70.94	83.72	37.58	2e-143	42	660	37	612	688
AN10506	AN5021	89.94	96.36	34.74	3e-131	4	643	38	672	706
AN10512	AN1409	89.22	97.25	48.86	5e-115	43	431	8	398	400
AN10529	AN1102	87.48	99.83	60.88	.0	2	581	81	663	663
AN10533	AN3441	68.31	69.97	37.58	2e-135	257	901	247	882	909
AN10541	AN8079	91.78	98.38	38.87	5e-160	9	717	9	678	681
AN10550	AN7610	88.36	96.99	34.44	2e-102	24	797	67	867	876
AN10573	AN1794	92.29	95.71	37.62	7e-111	8	506	38	528	532
AN10573	AN5360	90.07	93.76	36.61	7e-107	13	500	9	489	534
AN10573	AN8309	92.86	96.30	38.28	2e-121	13	506	15	524	532
AN10576	AN1242	23.73	86.33	30.84	.0	137	1595	162	1643	6203
AN10576	AN2545	21.36	86.69	28.06	1e-148	223	1700	990	2493	6920
AN10576	AN7884	19.87	81.76	30.81	.0	227	1620	1145	2574	7016
AN10589	AN12172	70.87	73.98	41.88	9e-117	102	590	95	601	690
AN10607	AN12459	42.40	72.17	100.00	.0	1	293	114	406	406
AN1061	AN8990	96.42	97.34	41.89	1e-128	1	515	14	525	526
AN10612	AN12441	99.31	100.00	94.50	.0	1	289	1	291	291
AN10613	AN10776	97.84	100.00	90.63	.0	1	555	1	543	543
AN10613	AN8358	92.97	96.27	37.43	5e-115	5	547	6	521	536
AN10617	AN3917	82.19	85.19	48.13	1e-144	47	489	41	495	539
AN10623	AN12442	61.80	68.08	90.99	.0	60	381	179	500	521
AN10624	AN10787	95.50	100.00	87.86	.0	1	378	1	361	361
AN10626	AN1523	97.33	98.20	75.69	.0	14	560	8	554	557
AN10627	AN5082	54.87	60.45	82.76	3e-131	177	390	123	354	354
AN10627	AN7570	86.06	99.74	74.49	.0	1	389	17	408	452
AN10630	AN4932	86.83	98.93	58.12	7e-116	3	279	40	316	319
AN10632	AN10649	13.95	61.06	91.28	1e-121	116	333	1245	1462	1563
AN10632	AN10846	27.29	100.00	81.42	.0	1	357	916	1308	1308
AN10632	AN2670	14.24	61.06	90.83	5e-121	116	333	1270	1487	1531
AN10632	AN2713	67.79	69.94	97.11	2e-170	116	357	105	346	346
AN10632	AN3471	67.79	69.94	96.69	5e-169	116	357	105	346	346
AN10632	AN5066	49.30	71.54	89.20	3e-111	116	291	57	232	246
AN10632	AN6966	68.91	68.91	89.88	9e-150	111	357	112	357	357
AN10632	AN8305	54.90	94.23	87.31	1e-111	111	307	12	207	208
AN10632	AN8576	16.67	67.79	97.11	3e-157	116	357	1211	1452	1452
AN10638	AN1518	89.83	97.63	32.72	3e-138	16	757	25	776	826
AN10638	AN4837	88.55	98.25	33.24	1e-130	12	744	1	673	685
AN10648	AN2684	82.92	96.32	61.22	.0	77	566	5	475	489
AN10649	AN10846	55.28	66.06	87.09	.0	1006	1462	862	1284	1308
AN10649	AN2670	96.03	98.04	93.72	.0	1	1501	1	1526	1531
AN10649	AN2713	20.60	93.06	91.59	.0	1130	1462	1	322	346
AN10649	AN2714	60.33	99.79	90.74	.0	1	983	1	943	945
AN10649	AN3471	20.60	93.06	91.29	.0	1130	1462	1	322	346
AN10649	AN3500	34.87	97.15	77.00	.0	1	610	1	545	561
AN10649	AN5066	12.48	79.27	92.31	6e-118	1226	1420	38	232	246
AN10649	AN5254	34.36	53.12	46.28	2e-145	326	862	463	1009	1011
AN10649	AN5470	36.47	93.60	99.82	.0	424	993	1	570	609
AN10649	AN5471	17.66	99.64	88.82	.0	1130	1433	1	276	277
AN10649	AN6966	21.37	93.56	98.50	.0	1130	1463	1	334	357
AN10649	AN6968	41.01	88.66	91.52	.0	1	641	62	722	723
AN10649	AN7830	19.51	80.69	99.67	.0	1	305	1	305	378
AN10649	AN7831	11.00	95.03	100.00	5e-115	1305	1476	1	172	181
AN10649	AN7845	20.73	60.67	95.48	6e-114	830	1028	324	522	534
AN10649	AN7846	11.64	91.46	99.45	2e-121	1320	1501	13	194	199
AN10649	AN8305	12.67	95.19	96.46	6e-128	1239	1436	10	207	208
AN10649	AN8576	60.52	65.15	93.41	9e-164	1190	1462	1156	1428	1452
AN10650	AN11203	69.03	81.38	86.26	.0	116	477	51	391	419
AN10657	AN2674	96.58	97.28	36.25	3e-104	12	548	11	546	555
AN10662	AN6778	86.59	99.77	40.47	7e-104	2	427	63	492	492
AN10662	AN7137	87.50	98.36	41.86	1e-107	2	427	61	480	480
AN10665	AN4687	85.91	93.53	42.64	2e-132	5	520	62	567	589
AN10672	AN1197	96.76	97.25	50.95	.0	10	794	8	784	803
AN10672	AN3054	91.85	94.49	31.95	2e-105	39	793	24	815	822
AN10672	AN3764	96.51	96.87	55.57	.0	20	793	5	787	802
AN10704	AN7808	88.52	99.39	43.70	9e-131	42	541	1	486	489
AN1071	AN12258	31.87	71.59	52.88	4e-117	3	383	2	379	528
AN1071	AN1580	92.24	96.90	65.36	5e-150	818	1182	709	1092	1129
AN1071	AN3547	90.38	98.23	29.59	4e-138	8	1172	40	1205	1289
AN1071	AN3881	96.21	97.44	46.43	.0	8	1148	10	1154	1171
AN1071	AN4339	62.06	94.00	33.07	4e-108	327	1062	1	746	783
AN1071	AN5237	24.70	53.08	63.95	4e-123	556	848	205	498	552
AN1071	AN6955	29.51	66.41	67.43	2e-163	275	624	177	526	527
AN1071	AN8322	69.81	71.44	51.37	4e-142	677	1170	596	1105	1159
AN1071	AN8545	88.95	92.79	40.57	.0	8	1062	8	1080	1137
AN1071	AN9426	91.18	96.80	57.72	3e-109	849	1172	741	1064	1259
AN10720	AN6461	92.51	98.02	35.47	1e-107	11	504	20	534	534
AN1073	AN3408	89.70	91.84	39.20	8e-137	41	596	47	586	588
AN1073	AN8903	88.71	92.69	55.80	.0	40	597	64	626	629
AN10745	AN3058	77.04	98.09	60.67	.0	120	596	8	470	472
AN10776	AN8358	95.03	96.27	38.09	5e-120	5	535	6	521	536
AN10782	AN2977	75.60	99.30	57.79	2e-119	1	285	61	368	377
AN10795	AN6721	97.09	99.07	47.31	3e-166	1	544	1	534	539
AN10812	AN2372	80.38	91.10	39.70	4e-104	11	599	18	529	562
AN10815	AN7339	89.46	96.91	63.47	1e-150	3	322	36	349	351
AN10833	AN2662	96.51	97.77	38.92	4e-127	7	539	3	527	537
AN10833	AN3957	87.37	90.26	37.04	3e-101	54	544	55	562	562
AN10833	AN8303	83.07	85.66	35.90	5e-101	64	530	78	543	561
AN10833	AN8777	97.63	98.53	36.83	1e-106	5	540	3	541	549
AN10834	AN12335	88.96	97.10	63.00	.0	13	465	1	435	448
AN10838	AN7613	60.70	90.90	36.36	3e-167	53	818	24	772	824
AN10845	AN2869	90.68	92.41	43.62	4e-167	46	637	48	631	632
AN10845	AN3210	96.27	97.79	46.62	.0	8	629	12	631	634
AN10845	AN5323	89.44	92.46	47.94	.0	26	630	19	594	623
AN10845	AN6804	92.86	96.45	38.96	2e-145	24	631	11	608	620
AN10846	AN2670	34.68	40.60	98.62	2e-131	1	218	9	226	1531
AN10846	AN2713	24.69	93.35	87.11	.0	986	1308	1	346	346
AN10846	AN2714	64.98	89.95	92.99	.0	1	864	9	858	945
AN10846	AN3471	24.69	93.35	86.83	.0	986	1308	1	346	346
AN10846	AN3500	41.74	97.33	73.68	.0	1	605	9	554	561
AN10846	AN5254	39.07	50.54	44.29	1e-127	318	828	472	1009	1011
AN10846	AN5470	34.79	74.71	93.68	.0	410	864	1	475	609
AN10846	AN6966	24.69	90.48	84.87	.0	986	1308	1	357	357
AN10846	AN6968	47.17	85.34	86.09	.0	2	618	71	713	723
AN10846	AN7830	25.61	88.62	97.91	.0	1	335	9	343	378
AN10846	AN7845	24.24	59.36	83.09	.0	410	726	1	324	534
AN10846	AN8576	53.17	59.02	87.54	4e-161	1046	1308	1156	1452	1452
AN10866	AN4910	80.00	94.42	53.23	5e-170	1	444	88	527	550
AN10867	AN3780	91.76	95.29	33.21	2e-115	14	781	5	802	837
AN10869	AN1789	76.17	88.58	49.79	9e-160	53	533	47	519	534
AN10884	AN1623	78.09	99.02	51.46	2e-180	2	525	1	506	511
AN10887	AN1794	93.80	96.33	36.59	4e-112	14	512	30	530	532
AN10887	AN8309	91.35	93.82	39.02	8e-112	27	512	23	526	532
AN10891	AN1797	98.13	98.69	60.48	.0	1	526	1	528	533
AN10891	AN6669	93.84	94.02	44.51	5e-147	16	518	17	529	535
AN10891	AN8737	90.49	91.86	46.64	3e-150	16	500	17	509	528
AN10898	AN7868	53.32	81.64	58.80	7e-110	182	447	2	250	305
AN10905	AN2287	81.59	82.94	57.26	6e-180	73	538	70	521	554
AN10906	AN11169	92.84	95.35	37.76	2e-135	9	646	47	681	684
AN10931	AN3229	91.50	93.80	46.61	4e-163	20	579	40	607	612
AN10931	AN4212	93.76	95.64	46.09	9e-168	9	579	22	604	609
AN10931	AN6445	91.99	94.30	44.48	2e-159	21	583	36	611	612
AN10931	AN7056	87.44	98.12	53.61	.0	2	580	8	529	532
AN10931	AN7812	87.81	94.14	40.48	3e-127	19	580	66	636	640
AN10948	AN2593	89.40	98.15	55.09	3e-153	5	375	30	404	415
AN10949	AN1174	90.41	91.08	48.57	.0	102	1490	91	1448	1491
AN10949	AN3247	91.08	94.67	38.53	.0	124	1497	77	1444	1445
AN10949	AN3329	89.08	97.81	36.94	.0	138	1475	13	1351	1368
AN10949	AN3952	98.07	98.33	38.76	.0	1	1487	1	1473	1498
AN10949	AN4749	96.07	96.26	60.48	.0	52	1494	45	1492	1499
AN10949	AN6581	96.97	98.00	37.22	.0	21	1492	16	1490	1518
AN10949	AN8344	96.94	99.52	53.80	.0	38	1494	5	1460	1463
AN10949	AN8489	93.21	98.18	37.87	.0	91	1500	26	1425	1426
AN10949	AN8813	86.28	87.51	38.56	.0	183	1490	171	1466	1481
AN10949	AN8892	87.02	90.20	35.98	.0	184	1492	136	1442	1449
AN10949	AN8928	97.54	99.86	48.82	.0	35	1499	2	1466	1467
AN10949	AN9344	95.21	98.21	48.41	.0	65	1497	24	1453	1456
AN10958	AN6019	85.49	92.87	54.75	3e-162	66	495	27	462	463
AN10959	AN4809	91.61	98.26	33.90	1e-119	29	705	5	687	689
AN10972	AN5275	92.65	92.65	43.87	9e-141	37	515	29	509	517
AN10982	AN1628	87.99	89.83	47.04	.0	83	1027	35	1027	1052
AN10982	AN5743	89.29	95.23	29.85	3e-123	69	1027	2	985	1007
AN10982	AN6642	89.11	89.69	46.82	.0	71	1027	18	1021	1067
AN10982	AN7464	89.29	90.22	31.00	5e-121	74	1032	45	1057	1063
AN10986	AN4810	94.85	97.70	40.34	1e-124	12	563	15	572	582
AN10990	AN6029	82.78	99.64	57.89	2e-107	10	331	2	275	275
AN11013	AN7818	93.56	96.07	41.81	1e-119	24	494	17	481	484
AN1103	AN1482	96.58	97.97	38.55	6e-148	10	686	6	686	701
AN11044	AN11091	71.74	84.63	99.23	.0	72	462	155	545	545
AN11044	AN2732	67.46	73.59	86.19	.0	72	462	165	504	504
AN11044	AN3478	70.45	84.63	98.98	.0	72	462	165	555	555
AN11044	AN4391	70.45	84.63	99.49	.0	72	462	165	555	555
AN11044	AN4877	68.32	80.30	95.60	.0	72	457	165	535	543
AN11044	AN5334	69.17	79.65	93.09	.0	72	462	165	532	532
AN11044	AN6559	70.45	84.63	99.49	.0	72	462	165	555	555
AN11044	AN7516	68.69	78.35	93.16	.0	72	451	165	526	527
AN11044	AN8788	43.17	51.95	99.17	1e-176	72	311	165	404	556
AN11065	AN8249	94.67	95.43	38.74	.0	24	748	32	741	744
AN11078	AN3991	87.76	91.43	45.08	5e-135	54	512	6	480	502
AN11087	AN4180	86.30	97.00	65.03	.0	2	486	4	532	562
AN11089	AN1129	95.36	97.70	51.25	.0	23	618	12	608	610
AN11089	AN1611	90.40	91.28	37.50	1e-117	53	617	49	614	619
AN11089	AN8351	94.40	95.93	39.19	3e-135	23	612	15	608	615
AN11090	AN2198	92.23	92.23	47.95	1e-104	17	369	26	369	373
AN11091	AN2291	48.62	67.77	95.64	.0	1	265	1	275	391
AN11091	AN2732	92.48	100.00	88.83	.0	1	545	1	504	504
AN11091	AN3047	62.94	99.42	82.07	.0	1	386	1	343	345
AN11091	AN3478	98.20	100.00	97.66	.0	1	545	1	555	555
AN11091	AN4391	98.20	100.00	98.02	.0	1	545	1	555	555
AN11091	AN4877	98.17	98.53	95.27	.0	1	540	1	535	543
AN11091	AN5334	97.61	100.00	93.51	.0	1	545	1	532	532
AN11091	AN5863	30.83	90.81	93.82	3e-117	98	265	1	178	185
AN11091	AN6559	98.20	100.00	98.02	.0	1	545	1	555	555
AN11091	AN7516	96.51	99.81	92.83	.0	1	534	1	526	527
AN11091	AN8788	70.86	72.29	97.03	.0	1	394	1	404	556
AN11091	AN9505	36.33	94.74	91.35	2e-129	1	198	1	208	209
AN1110	AN11116	95.34	96.12	38.00	3e-111	21	491	11	487	490
AN1110	AN2282	96.23	98.18	38.82	7e-115	6	494	20	504	504
AN1110	AN5650	94.33	95.10	40.51	5e-118	29	494	24	490	490
AN1110	AN9010	95.83	97.77	39.31	2e-105	9	491	11	501	504
AN11103	AN3237	92.81	93.77	35.86	4e-107	39	580	26	574	578
AN11116	AN1681	88.65	94.08	37.66	5e-103	30	490	52	520	520
AN11116	AN5650	96.73	96.73	60.99	.0	2	488	15	488	490
AN11120	AN2613	72.58	85.16	38.39	1e-111	135	582	51	492	519
AN11120	AN2675	78.00	97.34	42.12	5e-130	126	605	9	483	488
AN11120	AN6477	85.88	96.14	38.98	5e-127	56	602	11	533	544
AN11120	AN6942	84.24	97.34	52.59	.0	96	608	4	520	527
AN11120	AN7972	77.67	95.17	37.73	2e-105	130	602	15	491	497
AN11120	AN8122	82.92	94.75	37.07	3e-102	81	606	16	520	533
AN11120	AN8610	83.74	96.59	40.65	8e-123	93	602	2	520	528
AN11138	AN5856	35.97	47.10	51.99	6e-111	348	656	534	859	859
AN11142	AN1884	96.91	97.80	39.21	4e-117	14	550	13	545	545
AN11143	AN7402	95.91	98.23	49.05	.0	12	620	7	635	635
AN11144	AN4824	86.52	93.87	41.42	6e-116	18	420	60	457	460
AN11149	AN7634	87.23	92.93	46.52	2e-176	23	548	18	562	603
AN11149	AN8341	84.56	90.99	55.96	.0	23	537	40	592	609
AN11152	AN3730	89.69	92.76	64.04	.0	1	487	1	489	543
AN11152	AN7511	88.89	91.43	54.02	.0	1	482	1	480	540
AN11167	AN4482	86.03	96.74	41.38	5e-128	18	522	73	587	587
AN11177	AN3030	96.16	96.96	53.42	3e-123	5	357	8	358	362
AN11177	AN5355	96.16	97.50	54.60	9e-134	5	357	7	357	360
AN11185	AN4972	78.13	89.74	35.42	1e-132	47	746	66	767	896
AN11185	AN8590	83.08	85.64	30.82	2e-107	35	732	56	723	804
AN11185	AN8930	85.89	87.44	32.83	2e-117	51	732	11	707	794
AN11191	AN12188	47.86	99.07	38.76	.0	48	1303	5	1181	1188
AN11191	AN12331	71.49	72.83	40.35	.0	50	1854	6	1763	2414
AN11191	AN1784	48.04	48.80	33.31	.0	50	1254	10	1209	2498
AN11191	AN2035	47.29	49.25	38.27	.0	47	1257	8	1221	2561
AN11191	AN2547	44.57	45.38	37.17	.0	130	1250	11	1106	2415
AN11191	AN3612	45.57	45.83	36.22	.0	50	1259	26	1152	2473
AN11191	AN6791	48.46	50.63	36.10	.0	50	1306	13	1257	2569
AN11191	AN7084	52.01	53.23	33.78	.0	35	1333	5	1283	2403
AN11191	AN8412	30.30	48.43	35.79	.0	51	1252	5	1195	3931
AN11191	AN8910	44.57	44.73	34.46	2e-177	50	1249	20	1115	2450
AN11191	AN9005	44.22	45.38	34.78	.0	50	1253	63	1178	2524
AN11194	AN6784	91.37	92.39	53.09	4e-155	38	450	18	446	447
AN11196	AN4173	91.34	97.87	36.35	4e-102	30	554	12	517	517
AN11196	AN4482	85.86	90.97	40.19	1e-120	51	554	81	587	587
AN11205	AN1616	85.71	88.83	49.57	1e-116	7	352	1	342	385
AN11205	AN4831	83.71	86.75	48.39	6e-103	13	352	7	340	385
AN11205	AN5887	94.74	98.18	63.59	5e-178	8	385	3	381	385
AN11206	AN8140	82.50	86.27	43.61	7e-114	8	403	16	430	459
AN11209	AN8768	96.15	98.83	61.36	.0	2	438	3	426	429
AN11211	AN3352	93.79	96.01	35.63	9e-110	10	563	17	545	551
AN11217	AN3254	81.80	93.38	37.45	3e-103	103	610	26	533	544
AN11217	AN3491	78.42	89.19	37.75	1e-102	116	602	38	533	546
AN11217	AN7200	81.32	93.17	45.40	2e-142	83	612	26	530	542
AN11217	AN8095	72.95	83.89	45.97	9e-134	116	568	26	480	540
AN11227	AN2062	53.33	96.51	59.39	6e-153	4	365	47	406	675
AN11227	AN5129	54.26	93.83	70.94	4e-178	9	359	4	353	645
AN11227	AN6010	52.17	93.30	51.69	1e-114	10	358	44	391	667
AN11228	AN11950	94.85	95.64	95.97	.0	1	571	1	571	602
AN11243	AN2648	94.89	95.56	48.63	.0	26	563	28	567	567
AN11243	AN7081	94.61	96.63	46.45	5e-169	19	562	25	568	575
AN11243	AN7153	93.59	95.91	40.00	8e-119	23	562	29	569	577
AN1129	AN1611	94.02	95.41	44.59	3e-162	26	607	33	614	619
AN1129	AN8351	97.07	97.87	44.72	2e-168	11	607	17	613	615
AN1132	AN8886	87.58	98.14	40.85	.0	85	893	11	800	805
AN1138	AN5551	89.57	91.10	40.37	7e-113	13	493	13	495	528
AN1138	AN6805	95.45	97.77	63.21	.0	3	527	4	528	550
AN1138	AN7667	91.81	96.10	36.04	1e-100	18	514	6	498	513
AN1142	AN3902	94.74	95.05	52.81	.0	30	605	26	606	608
AN11679	AN7529	91.82	95.06	49.26	5e-149	18	423	35	438	440
AN11698	AN7159	94.21	96.28	44.50	2e-160	15	584	15	597	605
AN1174	AN3247	89.54	92.39	36.51	.0	115	1449	83	1436	1445
AN1174	AN3329	88.26	96.20	36.72	.0	114	1429	1	1340	1368
AN1174	AN3952	88.18	88.60	39.37	.0	126	1446	124	1474	1498
AN1174	AN4749	95.73	96.24	48.82	.0	14	1448	27	1488	1499
AN1174	AN6581	92.29	93.96	37.35	.0	52	1452	60	1492	1518
AN1174	AN8344	91.15	92.89	47.29	.0	90	1448	60	1456	1463
AN1174	AN8489	88.46	92.50	38.82	.0	126	1444	74	1410	1426
AN1174	AN8813	92.82	93.45	36.46	.0	53	1436	52	1457	1481
AN1174	AN8892	89.67	92.27	35.36	.0	112	1448	66	1440	1449
AN1174	AN8928	96.58	98.16	58.25	.0	13	1452	9	1461	1467
AN1174	AN9344	93.16	95.40	43.36	.0	60	1448	35	1446	1456
AN1181	AN7463	84.59	96.24	55.25	1e-180	5	465	22	485	545
AN1182	AN6838	97.11	97.54	84.90	.0	1	437	1	437	450
AN1182	AN7570	95.80	96.65	39.78	1e-115	3	435	4	448	452
AN11821	AN9219	98.92	99.46	45.41	4e-168	5	555	3	553	554
AN11823	AN2840	90.27	91.48	59.35	3e-176	45	452	19	446	446
AN11823	AN4481	74.95	84.73	42.68	6e-103	30	430	94	476	511
AN1186	AN4526	88.13	93.87	41.38	3e-129	32	506	47	539	539
AN1189	AN2827	69.57	86.47	57.83	.0	165	1220	88	1084	1153
AN1189	AN4920	69.02	83.67	56.57	.0	169	1215	113	1101	1182
AN1189	AN5088	74.39	77.87	63.69	.0	173	1302	181	1246	1369
AN1189	AN8399	72.58	93.11	54.78	.0	165	1226	45	1084	1117
AN11934	AN6443	87.18	89.88	26.26	3e-135	167	1445	86	1401	1423
AN11934	AN6779	72.61	74.98	27.43	8e-112	346	1445	379	1491	1515
AN11934	AN7839	91.80	94.61	35.35	.0	65	1452	92	1509	1512
AN11934	AN7879	86.56	91.34	37.31	.0	54	1449	80	1419	1548
AN11934	AN8150	25.70	31.08	42.47	2e-112	979	1452	1308	1763	1774
AN11941	AN2666	92.95	93.97	45.17	6e-101	5	354	11	353	369
AN11941	AN9064	94.79	96.11	54.21	3e-134	5	360	10	355	360
AN11954	AN12368	96.08	98.44	59.71	.0	11	912	10	891	896
AN11954	AN7151	95.10	99.32	43.69	.0	5	888	3	875	879
AN11956	AN5450	89.86	97.22	34.15	6e-114	19	647	20	700	700
